index,dE_c,dE_o,dE_n,dE_h,d_band_center,d_band_filling,d_band_width,d_band_upperedge
Rh_plus_1_surface_Ag,-8.512546239999981,-6.170968159999976,-6.467272309999967,-3.0704584099999583,-1.0365056599801434,0.7164880745739621,3.3031718440263327,0.44510000000000005
Rh_plus_1_surface_Ir,-7.59734251999996,-5.461715450000046,-5.618860409999994,-2.834187489999977,-1.5698050924069087,0.748248183449609,4.056488370630256,0.9763999999999999
Rh_plus_1_surface_Pt,-7.915990120000036,-5.754648820000003,-5.9248070999999785,-2.92653667999997,-1.3461209701803514,0.7227501834490953,3.8953874185789723,0.7879999999999998
Rh_plus_1_surface_Au,-8.390890839999972,-6.1118080800000065,-6.387623030000012,-3.054302950000022,-1.1137840301494253,0.7425645895310424,3.4578051307126656,0.33230000000000004
Rh_plus_2_surface_Fe,-7.575008169999966,-5.26120766999998,-5.491024869999959,-2.8023108400000187,-1.299740804835945,0.773909662615082,3.8579873415736667,0.20570000000000022
Rh_plus_2_surface_Co,-7.662835730000016,-5.3118391099999975,-5.3451691900000045,-2.834330050000006,-1.3238185624701413,0.7540640341065951,3.8095420766073764,1.0627
Rh_plus_2_surface_Ni,-8.25474135000005,-5.88604843000002,-6.276906749999992,-3.22456772999999,-1.2876266302803192,0.7305260227279543,3.6372681323208536,0.6586999999999998
Rh_plus_2_surface_Cu,-8.361795590000018,-6.002706489999984,-6.325692110000003,-3.039010020000035,-1.1034402344479817,0.7647663167608155,3.3967561540546476,0.3874000000000002
Rh_plus_2_surface_Ru,-7.524078259999986,-5.26462376000001,-5.61494385,-2.7539357699999987,-1.5517186603095734,0.7676115560243705,3.8472217606844175,1.2599999999999998
Rh_plus_2_surface_Rh,-7.793334610000021,-5.552826209999981,-5.815654650000025,-2.8611114400000024,-1.3900886267189005,0.7328144108102517,3.771796407979956,0.7908
Rh_plus_2_surface_Pd,-8.199053000000024,-5.892912600000049,-6.190407169999983,-2.9718191800000118,-1.2105674956202623,0.7211246606168185,3.4508445612985805,0.6183000000000001
Rh_plus_2_surface_Ag,-8.669602419999965,-6.245768020000018,-6.6060827299999945,-3.1022019100000198,-0.9889828601277619,0.7387401819147412,3.1604428705794594,0.3256000000000001
Rh_plus_2_surface_Ir,-7.680233220000024,-5.480454459999979,-5.68707536000002,-2.845650499999977,-1.5301355712604146,0.7520224593739095,3.8790754734476853,0.9977999999999998
Rh_plus_2_surface_Pt,-7.997810079999998,-5.78126791,-5.985608480000022,-2.9410875699999797,-1.3087705752760326,0.7403743000538325,3.7563253592480814,0.6625999999999999
Rh_plus_2_surface_Au,-8.510509099999954,-6.16808803999999,-6.485212909999999,-3.081590489999997,-1.0670533009238279,0.7261961650860365,3.367701245399283,0.48050000000000015
Pd_minus_2_surface_Fe,-5.777076989999988,-3.9308488300000057,-3.5006272699999927,-2.4359747500000144,-2.021792571019395,0.8898453278193394,3.259021138732564,-0.7647999999999997
Pd_minus_2_surface_Co,-6.0623492799999825,-4.072193839999986,-3.7535767800000004,-2.492583079999975,-2.044404299413955,0.8978735030853102,3.1976262412532868,-0.8137999999999999
Pd_minus_2_surface_Ni,-6.424513669999986,-4.277628879999984,-4.158793660000012,-2.621075749999989,-1.877800333198005,0.8912201754691595,3.0948719617703144,0.3066
Pd_minus_2_surface_Cu,-6.575133950000013,-4.352811239999998,-4.346506609999975,-2.7527327299999915,-1.6719206766235715,0.9027358350719773,2.9646850072695634,-0.266
Pd_minus_2_surface_Ru,-6.38398770000001,-4.395882070000031,-4.044657339999984,-2.566483619999986,-2.080476192273679,0.8741062788555237,3.144278573394031,0.7637
Pd_minus_2_surface_Rh,-6.653371510000004,-4.533690940000017,-4.445075840000013,-2.681112939999992,-1.8332401611960698,0.8765377712976633,3.0964159943755827,0.3544999999999998
Pd_minus_2_surface_Pd,-6.932531219999992,-4.6250486799999955,-4.73300621999999,-2.8011082900000024,-1.64782931913452,0.8927829583743097,2.866832584525721,0.12979999999999992
Pd_minus_2_surface_Ag,-6.712007419999996,-4.43853288999998,-4.528927659999991,-2.8227098800000197,-1.5280847401940623,0.9005658104283176,2.764778037267532,-0.29789999999999983
Pd_minus_2_surface_Os,-6.337552049999975,-4.474980100000042,-3.9861430800000024,-2.616194159999964,-2.184855114710676,0.8693364634480015,3.444016202344758,0.0024999999999999467
Pd_minus_2_surface_Ir,-6.566553189999984,-4.570829890000002,-4.356050019999967,-2.6855648600000284,-2.0767568940711114,0.8952407846661217,3.113905374163871,0.4384000000000001
Pd_minus_2_surface_Pt,-6.889834930000011,-4.645812750000008,-4.703340209999991,-2.7801751599999993,-1.7436378315996242,0.8944379239831571,3.0533397899938803,0.2603
Pd_minus_2_surface_Au,-6.875811059999994,-4.542176340000001,-4.6603546999999965,-2.856782320000008,-1.5495725666494151,0.8965469326255489,2.8724627230030144,-0.22360000000000024
Pd_minus_1_surface_Fe,-5.84830048999999,-3.9532417099999897,-3.5241862499999828,-2.45251823000001,-1.9775036064234923,0.8810168019263611,3.153875247829805,-0.6508
Pd_minus_1_surface_Co,-6.141474970000023,-4.104358230000006,-3.791790460000013,-2.51334282000002,-1.991841318424999,0.8978699298087263,3.061659597502941,-0.8065
Pd_minus_1_surface_Ni,-6.512427919999998,-4.314524320000007,-4.20699354999999,-2.639237259999988,-1.8345003695149245,0.8984051212281848,2.9593157501656826,0.2892000000000001
Pd_minus_1_surface_Cu,-6.699402239999988,-4.423590800000003,-4.429953129999999,-2.785411889999978,-1.6158735849084722,0.9028245328765638,2.8302012672651418,-0.2661
Pd_minus_1_surface_Ru,-6.440073770000002,-4.431159499999982,-4.077935909999977,-2.5791774100000002,-2.0360851296623252,0.8697871544061417,3.0002593160807214,0.7256999999999998
Pd_minus_1_surface_Rh,-6.729050979999987,-4.581823039999993,-4.502544349999991,-2.6920796099999795,-1.7820647075117928,0.8673208200380131,3.009161630966858,0.30290000000000017
Pd_minus_1_surface_Pd,-7.043087939999997,-4.687717800000005,-4.8144914700000045,-2.8248936500000075,-1.6012099360594532,0.892344477493976,2.731866386330066,0.17430000000000012
Pd_minus_1_surface_Ag,-6.837755710000015,-4.525184620000008,-4.625205120000001,-2.8583589000000136,-1.4745277763991396,0.9016500089700349,2.6139966471657843,-0.29300000000000015
Pd_minus_1_surface_Os,-6.36831813000001,-4.495333570000017,-3.9959310100000183,-2.6110589499999723,-2.1494080021694146,0.8889303675285708,3.3073042278672338,-0.03080000000000016
Pd_minus_1_surface_Ir,-6.627780880000022,-4.6165244000000065,-4.400721720000004,-2.699271930000038,-2.02666586300231,0.8975993500603906,2.9655029487572055,0.44120000000000026
Pd_minus_1_surface_Pt,-6.987225339999985,-4.704793129999988,-4.779895990000026,-2.8019114800000016,-1.6973501145511127,0.8923569315089344,2.924334873224164,0.24319999999999986
Pd_minus_1_surface_Au,-6.979163349999998,-4.607151410000004,-4.73621527,-2.8794402000000052,-1.4905946996891557,0.8972896455993646,2.728044092346521,-0.2150000000000003
Pd_zero_surface_Fe,-5.905289390000012,-3.973618560000009,-3.543259979999985,-2.4679230999999793,-1.9387364015603592,0.8896110047948819,3.0674613963451773,-0.7771
Pd_zero_surface_Co,-6.21294583,-4.135843600000019,-3.82895558999999,-2.536650379999998,-1.941581107444814,0.8974249651155347,2.942910724799593,-0.8045
Pd_zero_surface_Ni,-6.596551159999994,-4.3539450600000045,-4.251584800000015,-2.667364469999996,-1.7857936077405319,0.8947611175224675,2.8372984206689646,0.25239999999999996
